artista,oyentes,reproducciones,biografia,artistas_similares
Ciro y Los Persas,46565,1067926,"Ciro y los Persas son:

- Andrés Ciro Martínez (Voz - Guitarra - Armónica - Maracas - Pandereta - Cencerro - Güiro - Cabasa)
- Juan Manuel Ábalos (Guitarra - Bajo)
- Rodrigo Peréz (Guitarra)
- João Marcos Cezar Bastos (Bajo - Guitarra acústica)
- Julián Isod (Batería)
- Nicolás Raffetta (Teclado)

Ciro y Los Persas es una banda de rock argentina, liderada por el cantante y compositor Andrés Ciro Martínez, quien fuera líder de Los Piojos.

La banda fue formada a mediados de 2009, dos meses después de la despedida de Los Piojos en el Estadio Monumental de River Plate ante 75.000 personas. Según Ciro, él no quería caer en un estado de ""depresión"" por la ruptura de Los Piojos, es por eso que junto con el guitarrista Juan Manuel Gigena Ábalos, (guitarrista que también se fue a probar a Los Piojos después de la salida de Pity Fernández) decidieron armar el grupo ""Los Persas"". Luego se sumaría ""Broder"" Bastos, ex guitarrista de Bossa n'Stones - Bossa n' Marley y Bossa n' Roses, Julián ""Lulo"" Isod, ex baterista de un trío llamado Tres buen ensamble y de la antigua banda de rock pop Virus, Chucky de Ipola, tecladista que estuvo en Los Piojos un buen tiempo y después de la ruptura se unió a la banda Ciro, años después seguiría su carrera de solista y Juan Manuel Gaspari, se alejaría de la banda para seguir su carrera en Jóvenes Pordioseros y darle lugar a Rodrigo Pérez. La banda tuvo sus primeros recitales en diciembre de 2009 en Rosario y Córdoba.

El primer disco: Espejos
El disco contiene un rechazo a los ""conquistadores"", un respaldo a la idea de nuestra pertenencia a Latinoamérica y una defensa a los aborígenes. Esa idea ya se expresa desde el primer tema del disco (""Antes y después""). También la idea de libertad se expresa en el segundo tema, ""Servidor"", donde se menciona la esclavitud. En ""Chucu-chu"", aparece un pequeño fragmento homenajeando al tema ""El Fantasma de Canterville"", compuesto por Charly García y popularizado por León Gieco. En el tema ""Paso a Paso"" se afirma que la injusticia trae inseguridad y que se soluciona con inclusión social, a través de la educación y el hambre cero.
El disco termina con un Bonus Track:
""Aguanten los trapos del deseo y la libertad. Aguanten los trapos del saber y la dignidad. Aguanten los trapos de la singularidad. Aguanten los trapos porque sí, porque da""
Entre los agradecimientos, se destacan las influencias de Ciro: Carlos Gardel, Pappo, Moris, Luca Prodan (El disco incluye una canción en su memoria ""Luca""), Rubén Rada, León Gieco, David Bowie, Indio Solari, Iggy Pop, The Beatles y The Rolling Stones.

Segundo Disco: ""27""
El segundo disco, lanzado a mediados de noviembre de 2012 fue titulado 27; lleva ese nombre ya que según Ciro es su número de la suerte. El disco mezcla casi a la perfección rock, baladas, candombe y tango. Logro ser un éxito y causó una gran sensación entre los fans y la crítica, a la semana de su lanzamiento, logró ser disco de oro.5 Las primeras veces que sonaría sería en la ciudad de San Pedro, Buenos Aires, en el marco del ""Festival Mastai"", en el Club San Martín de la Provincia de Corrientes, en el Club Itapúa de Posadas, Misiones, en el espacio Hugo Espectáculos de la provincia de San Juan, en el Estadio Arena de Maipú, y tres fechas consecutivas en el Estadio Luna Park de Buenos Aires los días 13, 14 y 15 de diciembre. En 2013 continuaría presentado el disco, el día 27 de enero en la ciudad de Mar del Plata, el 9 de febrero en el marco del festival Cosquín Rock 2013 ante 40.000 personas y el 11 de febrero en la ciudad de General Roca, provincia de Río Negro ante 140.000 personas. Últimamente Los Persas siguieron presentando su ultimo disco, este caso en el estadio de Ferro Carril Oeste con un marco de 30.000 personas.

  <a href=""https://www.last.fm/music/Ciro+y+Los+Persas"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Los Piojos', 'Callejeros', 'Intoxicados', 'Los Tipitos', 'Turf']"
Max Carra,1077,5732,,"['Roze Oficial', 'Valentino Merlo', 'Lira', 'Bauti Mascia', 'FER VAZQUEZ']"
Kizz Daniel,103897,1451416,"Oluwatobiloba Daniel Anidugbe, mejor conocido como Kizz Daniel, es un cantante y compositor nigeriano. Saltó a la fama en el 2014 con su sencillo debut, ""Woju"". Firmó un contrato discográfico con G-Worldwide Entertainment en 2013, pero dejó el sello luego de una disputa contractual y un caso judicial publicitados. <a href=""https://www.last.fm/music/Kizz+Daniel"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Fireboy DML', 'Olamide', 'Young Jonn', 'Ruger', 'Davido']"
vunk,7951,108578,,"['Vescan', 'A.S.I.A.', ""What's Up"", 'Randi', 'UdDi']"
Douaa Lahyaoui,2045,19500,,"['Rym', 'Tawsen', 'Cravata', 'Oualid', 'TAGNE']"
Hugo & Guilherme,162875,6500284,,"['Clayton & Romário', 'Henrique & Juliano', 'Israel & Rodolffo', 'Murilo Huff', 'Zé Neto & Cristiano']"
House of Pain,1105647,8642779,"House of Pain fue un grupo norteamericano de hip hop con raíces irlandesas de principio de los 90. Sacaron a la venta tres discos antes de que su mc principal y miembro fundador Everlast decidiera disolver la formación y centrarse en su carrera en solitario. Son muy conocidos en todo el mundo principalmente por el super hit Jump Around, incluido en su disco de debut House of Pain (Fine Malt Lyrics).

El 21 de Junio de 1992 sale a la venta el álbum de debut House of Pain (Fine Malt Lyrics) (Tommy Boy Records), que contiene colaboraciones sobre todo en la producción de DJ Muggs del grupo Cypress Hill, siendo otros colaboradores Dj Ralph M de Funkdoobiest, Pete Rock, B-Real, también de Cypress Hill en el tema ""Put Your Head Out"" y el productor de Nirvana, Butch Vig. El Hit ""Jump Around"" ayuda al que el trío sea conocido a nivel nacional e internacional, y el álbum llegó a ser disco de platino. Como curiosidad, cabe destacar que ""Jump Around"" fue versionado dos veces por Pete Rock, una en la que rapeaba un párrafo suyo y otra en la que éste no se incluía. Además, la línea de bajo fue sampleada por la cantante de soul Amy Winehouse en su canción ""You Know I'm No Good"".""

Everlast en ese tiempo era ya un rapero reconocido y respetado en la escena, y por esta razón es invitado para participar en el remix de la canción ""Wainting"" de Madonna. DJ Lethal crea beats y producciones para Funkdoobiest, Sick of It All y The Whooliganz. El grupo actúa y contribuye con una canción del mismo nombre en la película ""Who's The Man"". Salen de gira con varios grupos asociados al Soul Assassins; también con los Rage Against The Machine y los Beastie Boys, quienes fueron una gran influencia para ellos. El día 28 de Junio de 1994 sale a la venta su segundo LP, tìtulado ""Same as It Ever Was"" , que contiene producciones de Dj Lethal, DJ Muggs, Tha Baka Boyz y Diamond D ( del colectivo D.I.T.C del Bronx, Nueva York). Su primer single, ""On Point"", obtuvo gran popularidad y gracias a este consiguieron llegar al #12 en la posición de la Billboard 200 chart, aunque no obtuvo la misma acogida que el clásico ""Jump Around"".

El octubre 10 de 1996, se lanza el tercer LP del grupo tìtulado Truth Crushed Earth Shall Rise Again , que no obtuvo ventas masivas como sus precedesores. En este trabajo la producción recayó enteramente en manos de Dj Lethal (que también fue el creador de todas las bases del álbum) y Everlast, sumando las colaboraciones líricas de Divine Styler (Uno de los pioneros del hip hop underground/alternativo) y Cockni O' Dire. Los raperos Sadat-X de Brand Nubian y Guru de GangStarr, también ayudaron a la creación de esta última pieza en la trilogía discográfica del trío, ya que poco tiempo después cada uno de sus miembros tomaría caminos diferentes.

DJ Lethal se unió al grupo de rap metal de Miami Limp Bizkit, los cuales vendieron más de 15 millones de discos. Everlast se dedicó a su carrera en solitario y, tras sufrir un ataque al corazón, lanzó en 1998 ""Whitey Ford Sings the Blues"", que incluía los singles ""What It's Like"" y ""Ends"", que entraron en los Top 10, y por el que fue premiado con un grammy. Danny Boy creó X-Supermodels, una productora de grupos underground. Todos ellos han continuado haciendo música y vinculados al negocio, con mayor o menor éxito.

El trio se juntó después de 10 años, bajo el nombre de La Coka Nostra, añadiendo raperos como Kaves de Lordz of Brooklyn, Ill Bill de Non Phixion, Slaine de Special Teamz y Big Left del DMS. Este nuevo grupo planea sacar su primer EP en noviembre de 2007. <a href=""https://www.last.fm/music/House+of+Pain"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Cypress Hill', 'Naughty By Nature', 'Lords of the Underground', 'Funkdoobiest', 'Das EFX']"
Boy Wonder Cf,70134,377099,,"['Jory Boy', 'Tony Dize', 'Angel y Khriz', 'Don Omar', 'Luny Tunes']"
MGK,670912,16559236,"Colson Baker​​​, conocido artísticamente como Machine Gun Kelly o simplemente Kells, es un músico, rapero, cantante, compositor y actor estadounidense. Su nombre artístico fue dado por su flujo lírico de tiro rápido y es una referencia al famoso criminal Machine Gun Kelly. <a href=""https://www.last.fm/music/MGK"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",[]
Tiago PZK,214869,8678930,"Tiago PZK es un cantante, rapero y compositor argentino, y usa el sufijo PZK en honor a su equipo de freestyle. Creció en Monte Grande, Argentina en el sur de conurbano bonaerense. Posteriormente, se mudó al barrio Santa Isabel, junto a su madre y su hermana. A los 15 años, se consagró campeón de la Batalla de Maestros (BDM). Además de este, participó en otras batallas como la God Level, Nike Battle Force, Supremacía, GoldBattle y El Quinto Escalón. En 2016 ganó fama con su participación en batallas locales de rap en el país con el tema «Andamo en la cima».
En 2019, firmó con SyP Recors, y llamó la atención de Phil Rodríguez, director ejecutivo de Move Concerts, uno de los mayores promotores independientes de América Latina. Rodríguez lo contrató para la gerencia y para su nuevo sello Grand Move Records. En 2022, firmó un contrato discográfico con Warner Music Latina.

En enero de 2022, se convirtió en el artista con más número uno en la lista de Billboard Argentina Hot 100, con los sencillos: «No me conocen (Remix)», «Entre nosotros» y «Salimo de noche». Según la revista Billboard el estilo e influencias de la música de Tiago «desafía la categorización, a menudo pasando del R&B e incluso pop a rap; en lugar de recurrir a las letras sexualmente explícitas, él se inclina más hacia el amor y la pérdida y su propio viaje desde los proyectos de vivienda de Buenos Aires a la naciente fama». El cantante ha citado a Daddy Yankee y Justin Bieber como sus influencias musicales. <a href=""https://www.last.fm/music/Tiago+PZK"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Lit Killah', 'FMK', 'Khea', 'Maria Becerra', 'Paulo Londra']"
Asake,261627,5675432,"Ahmed Ololade, conocido profesionalmente como Asake, es un cantante y compositor nigeriano. Está firmado con YBNL Nation y Empire Distribution. Su nombre artístico ""Asake"" es el nombre de su madre. En septiembre de 2022, se lanzó su álbum debut M <a href=""https://www.last.fm/music/Asake"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Young Jonn', 'Olamide', 'BNXN', 'Davido', 'Shallipopi']"
Los Fabulosos Cadillacs,479994,9400403,"Grupo musical argentino, influenciado en sus inicios por bandas como The Specials, Madness y The Clash cuyo nombre  era ""Cadillac´s 57"" debido al viejo auto que tenía Flavio Cianciarulo. 

Otra influencia importante que no podemos dejar de mencionar es la de Mano Negra. Incluso su lider, Manu Chao, mencionó especialmente a los Cadillcs como dignos ""herederos"" o ""continuadores"" de su estilo y ""onda"" (era una entrevista sobre la disolución de Mano Negra).  

La agrupación comandada desde sus inicios en los pubs argentinos por Gabriel Julio Fernandéz Capello alías ""Vicentico"" y ""El señor Flavio"" lograron una fabulosa fusión de rap, regaee, salsa, cumbia, dark, tango, jazz y ska que podemos asimilar completamente si escuchamos su obra maestra ""FABULOSOS CALAVERA"".

Es dificil  determinar cual es la gran obra hecha por los Cadillacs. Esto se debe a la evolución estética que han tenido a lo largo de su carrera. Rey Azucar es una obra sumamente notable en lo que se refiere al discurso que quiere entregar la banda. Cobra importancia si se considera que el disco esta inspirado en el gran escritor y cronista Eduardo Galeano. En este disco la latinidad de los sonidos conforman una formula perfecta. 
Por su parte, Fabulosos Calaveras es un disco quizás con matices filosóficos. Un disco inquieto, tenebroso, lugubre y excepcionalmente logrado en lo que se refiere a lo musical. En sus pasajes, también inspirado en un escritor y pensador argentino, Ernesto Sabato. Fabulosos Calaveras representa quizás el máximo nivel experimental que alcanzó la banda. A eso último se le puede agregar la rueda de recitales que dio la banda con el título Calavera Experimental Concherto. Un recital que demuestra el nivel deliverado y docto que posee la banda.
Solo mencionar  La marcha del Golazo solitario, un disco quizás olvidado por el público general. La Marcha quizás es la representación de lo que se venia haciendo en el interior de la banda con el Fabulosos Calaveras. La marcha tiene ese aspecto lugubre y tenebroso del Calaveras pero que se ve matizado por los sonidos carnavalescos de canciones como La vida. Se puede concluir que de un abánico de discos es muy dificil de concluir cual es el mejor disco de la banda. Será una discusión eterna entre los entendidos.  

Discos Recomendados: Bares y fondas (1986), El ritmo mundial (1988), El Satánico Dr. Cadillac (1989), El León (1992), Vasos Vacíos (1993), En vivo en Buenos Aires (1994), Rey azúcar (1995),Fabulosos Calavera (1997), La marcha del golazo solitario (1999), Hola (2001), Chau (2001).

LFC fue la primera banda argentina en obtener un GRAMMY (al mejor disco Latino, Fabulosos Calavera, el 25 de febrero de 1998).

En el año 2007 se reencontraron en un programa de radio de Flavio donde recordaron viejas versiones.

En marzo de 2008 falleció Toto Rotblat el gran percusionista de la banda desde el año 90, una muy triste pérdida. Posteriormente la banda regresa a los escenarios, con ""el satánico pop  tour"" 2008"" que actualmente esta recorriendo latinoamérica. promocionando su disco de regreso ""La luz del ritmo""

Estos son algunos de los grandes temas de ""Los Fabulosos""

El Genio del dub, Nº 2 en tu lista, Yo no me sentaré en tu mesa, Estoy harto de verte con otros, Siempre me hablaste de ella, C.J, Vasos vacios, Despariciones (de Rubén Blades), Mal Bicho, Matador, El satánico Dr. Cadillac, Ciego de amor, Siguiendo la luna, La marcha del golazo solitario, Calaveras y diablitos. <a href=""https://www.last.fm/music/Los+Fabulosos+Cadillacs"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Los Auténticos Decadentes', 'Los Pericos', 'Vicentico', 'La Mosca Tsé-Tsé', 'Bersuit Vergarabat']"
